Category,Name,RelativePath,HrefPath,Length,LastWriteTime
00 ASHRAE,ASHRAE 62.1-2013.pdf,00 Codes\00 ASHRAE\ASHRAE 62.1 - 2013\ASHRAE 62.1-2013.pdf,../00 Codes/00 ASHRAE/ASHRAE 62.1 - 2013/ASHRAE 62.1-2013.pdf,1130012,2020-05-19 17:46
00 ASHRAE,ASHRAE 62.1-2016.pdf,00 Codes\00 ASHRAE\ASHRAE 62.1 - 2016\ASHRAE 62.1-2016.pdf,../00 Codes/00 ASHRAE/ASHRAE 62.1 - 2016/ASHRAE 62.1-2016.pdf,1224146,2025-10-26 16:07
00 ASHRAE,ASHRAE 62.1_Addenda - Animal Facilities 2016.pdf,00 Codes\00 ASHRAE\ASHRAE 62.1 - 2016\ASHRAE 62.1_Addenda - Animal Facilities 2016.pdf,../00 Codes/00 ASHRAE/ASHRAE 62.1 - 2016/ASHRAE 62.1_Addenda - Animal Facilities 2016.pdf,421182,2020-04-08 9:15
00 ASHRAE,ASHRAE Standard 90.1-2010 I-P Edition.pdf,00 Codes\00 ASHRAE\ASHRAE 90.1 - 2010\ASHRAE Standard 90.1-2010 I-P Edition.pdf,../00 Codes/00 ASHRAE/ASHRAE 90.1 - 2010/ASHRAE Standard 90.1-2010 I-P Edition.pdf,6376211,2017-09-25 17:02
00 ASHRAE,AshraeStandard 90.1-2010_unlocked.pdf,00 Codes\00 ASHRAE\ASHRAE 90.1 - 2010\AshraeStandard 90.1-2010_unlocked.pdf,../00 Codes/00 ASHRAE/ASHRAE 90.1 - 2010/AshraeStandard 90.1-2010_unlocked.pdf,6549891,2023-08-02 15:58
00 ASHRAE,ASHRAE-90.1 - 2016.pdf,00 Codes\00 ASHRAE\ASHRAE 90.1 - 2016\ASHRAE-90.1 - 2016.pdf,../00 Codes/00 ASHRAE/ASHRAE 90.1 - 2016/ASHRAE-90.1 - 2016.pdf,26166569,2023-08-04 10:29
00 ASHRAE,ASHRAE Fundamentals - 2017 - Imperial.pdf,00 Codes\00 ASHRAE\Fundamentals\ASHRAE Fundamentals - 2017 - Imperial.pdf,../00 Codes/00 ASHRAE/Fundamentals/ASHRAE Fundamentals - 2017 - Imperial.pdf,39218092,2018-05-09 10:08
00 ASHRAE,ASHRAE Fundamentals - 2017 - SI.pdf,00 Codes\00 ASHRAE\Fundamentals\ASHRAE Fundamentals - 2017 - SI.pdf,../00 Codes/00 ASHRAE/Fundamentals/ASHRAE Fundamentals - 2017 - SI.pdf,37918620,2018-05-09 10:14
00 ASHRAE,Fundamentals 2021.pdf,00 Codes\00 ASHRAE\Fundamentals\Fundamentals 2021.pdf,../00 Codes/00 ASHRAE/Fundamentals/Fundamentals 2021.pdf,179124729,2025-03-10 12:46
00 ASHRAE,I-P 2021.pdf,00 Codes\00 ASHRAE\Fundamentals\I-P 2021.pdf,../00 Codes/00 ASHRAE/Fundamentals/I-P 2021.pdf,179140185,2021-11-07 12:13
